league,opp,opp2,result,conf,ROI,date,outcome
primera-division,Barcelona,Sevilla,12,Med conf,-14,04.11.17,win
primeira-liga,Moreirense,Portimonense,12,High conf,+64,04.11.17,win
primeira-liga,Tondela,Boavista,X2,Med conf,+22,04.11.17,lose
primeira-liga,Estoril,Rio Ave,X2,Med conf,-4,04.11.17,win
primeira-liga,Porto,Belenenses,1,High conf,+2,04.11.17,win
ligue-1,Angers,Paris SG,12,Med conf,-11,04.11.17,win
ligue-1,Troyes,Strasbourg,1,Med conf,+123,04.11.17,win
ligue-1,Monaco,Guingamp,1,High conf,+21,04.11.17,win
ligue-1,Montpellier,Amiens,12,High conf,+35,04.11.17,lose
ligue-1,Nantes,Toulouse,2,Low conf,+192,04.11.17,lose
championship,Bristol City,Cardiff,12,Med conf,-0,04.11.17,win
championship,Aston Villa,Sheffield Weds,1X,High conf,+53,04.11.17,lose
championship,Barnsley,Birmingham,1X,Med conf,+20,04.11.17,win
championship,Bolton,Norwich,X2,Med conf,+18,04.11.17,lose
championship,Derby,Reading,1X,High conf,+41,04.11.17,lose
championship,Ipswich,Preston,1X,High conf,+69,04.11.17,win
championship,Millwall,Burton,1X,Med conf,-3,04.11.17,lose
championship,Nott'm Forest,QPR,X2,Med conf,+32,04.11.17,lose
championship,Brentford,Leeds,X2,Low conf,+41,04.11.17,lose
serie-a,Bologna,Crotone,1,High conf,+70,04.11.17,lose
serie-a,Genoa,Sampdoria,X2,Low conf,-130,04.11.17,win
bundesliga,M'gladbach,Mainz,X,Med conf,+66,04.11.17,win
bundesliga,Augsburg,Leverkusen,1,Med conf,+47,04.11.17,lose
bundesliga,Hamburg,Stuttgart,2,Med conf,+46,04.11.17,lose
bundesliga,RB Leipzig,Hannover,X,High conf,+329,04.11.17,lose
bundesliga,Freiburg,Schalke 04,2,Med conf,+58,04.11.17,win
bundesliga,Dortmund,Bayern Munich,1X,High conf,+106,04.11.17,lose
premier-league,Stoke,Leicester,1X,Med conf,+27,04.11.17,win
premier-league,Huddersfield,West Brom,<2.5,Med conf,+63,04.11.17,win
premier-league,Newcastle,Bournemouth,1X,Med conf,-8,04.11.17,lose
premier-league,Southampton,Burnley,1X,Med conf,-15,04.11.17,lose
premier-league,Swansea,Brighton,1X,High conf,+65,04.11.17,lose
premier-league,West Ham,Liverpool,2,Med conf,+18,04.11.17,win
primera-division,Betis,Getafe,>2.5,Med conf,+49,03.11.17,win
primeira-liga,Setubal,Aves,1X,High conf,+54,03.11.17,lose
