league,opp,opp2,result,conf,ROI,date,outcome
primera-division,Eibar,Huesca,1X,Low conf,-25,19.08.18,lose
primera-division,Vallecano,Sevilla,X2,Low conf,-59,19.08.18,win
primera-division,Real Madrid,Getafe,1,Med conf,-7,19.08.18,win
liga-1,FC Steaua Bucuresti,Sepsi,<2.5,Med conf,+44,19.08.18,win
liga-1,CFR Cluj,Din. Bucuresti,1X,High conf,+47,19.08.18,win
primeira-liga,Nacional,Moreirense,<2.5,Med conf,+37,19.08.18,lose
primeira-liga,Rio Ave,Maritimo,12,Med conf,+24,19.08.18,win
primeira-liga,Belenenses,Porto,X2,Low conf,-67,19.08.18,win
jupiler-league,Antwerp,Club Brugge,1X,High conf,+80,19.08.18,win
jupiler-league,Genk,Charleroi,1X,Low conf,-43,19.08.18,win
jupiler-league,Eupen,Gent,<2.5,Low conf,+8,19.08.18,lose
ligue-1,Strasbourg,St Etienne,X2,Low conf,-1,19.08.18,win
ligue-1,Toulouse,Bordeaux,X2,Low conf,-78,19.08.18,lose
ligue-1,Nimes,Marseille,X2,Med conf,-6,19.08.18,lose
mls,Atlanta United,Columbus Crew,>1.5,High conf,+25,19.08.18,win
super-lig,Akhisar Belediyespor,Rizespor,>2.5,Low conf,+9,19.08.18,lose
super-lig,Antalyaspor,Konyaspor,1,Med conf,+40,19.08.18,lose
championship,Brentford,Sheffield Weds,X2,Med conf,+121,19.08.18,lose
serie-a,Torino,Roma,2,Med conf,+86,19.08.18,win
serie-a,Bologna,Spal,X2,High conf,+75,19.08.18,win
serie-a,Empoli,Cagliari,<2.5,Low conf,+11,19.08.18,win
serie-a,Sassuolo,Inter,1X,Med conf,+95,19.08.18,win
premier-league,Burnley,Watford,<2.5,Med conf,+29,19.08.18,lose
premier-league,Man City,Huddersfield,1,Med conf,+10,19.08.18,win
premier-league,Brighton,Man United,12,High conf,+34,19.08.18,win
primera-division,Celta,Espanol,1X,Low conf,+18,18.08.18,win
primera-division,Villarreal,Sociedad,12,Low conf,+22,18.08.18,win
primera-division,Barcelona,Alaves,1,High conf,+84,18.08.18,win
liga-1,Astra,Calarasi,1X,High conf,+26,18.08.18,win
liga-1,FC Viitorul,Gaz Metan Medias,<2.5,Low conf,+20,18.08.18,win
primeira-liga,Chaves,Portimonense,12,Med conf,+58,18.08.18,win
primeira-liga,Boavista,Benfica,X2,Med conf,+33,18.08.18,win
primeira-liga,Sp Lisbon,Setubal,1,High conf,+84,18.08.18,win
jupiler-league,Lokeren,Standard,1X,Med conf,+85,18.08.18,lose
jupiler-league,Club Brugge,Waregem,1X,Med conf,+47,18.08.18,win
jupiler-league,Waasland-Beveren,St Truiden,1,Med conf,+62,18.08.18,lose
jupiler-league,Kortrijk,Oostende,X,Med conf,+194,18.08.18,lose
ligue-1,Guingamp,Paris SG,X,Low conf,+22,18.08.18,lose
ligue-1,Amiens,Montpellier,>1.5,Med conf,+39,18.08.18,win
ligue-1,Caen,Nice,>1.5,Med conf,+42,18.08.18,win
ligue-1,Dijon,Nantes,1,Med conf,+45,18.08.18,win
ligue-1,Monaco,Lille,1X,Low conf,+16,18.08.18,win
ligue-1,Rennes,Angers,X2,Med conf,+42,18.08.18,lose
super-lig,Bursaspor,Kayserispor,12,Low conf,-13,18.08.18,lose
super-lig,Yeni Malatyaspor,Fenerbahce,12,Low conf,-13,18.08.18,win
championship,Bristol City,Middlesbrough,1,Med conf,+30,18.08.18,lose
championship,Hull,Blackburn,12,Low conf,-4,18.08.18,win
championship,Ipswich,Aston Villa,1,Med conf,+42,18.08.18,lose
championship,Leeds,Rotherham,1X,Low conf,-4,18.08.18,win
championship,Millwall,Derby,>2.5,Low conf,-3,18.08.18,win
championship,Reading,Bolton,1,Med conf,+42,18.08.18,lose
championship,Sheffield United,Norwich,12,Low conf,-4,18.08.18,win
championship,West Brom,QPR,2,Low conf,-4,18.08.18,lose
championship,Wigan,Nott'm Forest,12,Low conf,-4,18.08.18,lose
championship,Preston,Stoke,X2,Med conf,+61,18.08.18,win
serie-a,Chievo,Juventus,2,Med conf,+7,18.08.18,win
serie-a,Lazio,Napoli,2,Med conf,+54,18.08.18,win
premier-league,Cardiff,Newcastle,1X,High conf,+77,18.08.18,win
premier-league,Everton,Southampton,2,High conf,+75,18.08.18,lose
premier-league,Leicester,Wolves,1,Med conf,+62,18.08.18,win
premier-league,Tottenham,Fulham,1X,Med conf,+62,18.08.18,win
premier-league,West Ham,Bournemouth,X2,Med conf,+52,18.08.18,win
premier-league,Chelsea,Arsenal,<2.5,Low conf,-5,18.08.18,lose
mls,Seattle Sounders,Los Angeles Galaxy,X2,High conf,+147,18.08.18,lose
mls,Philadelphia Union,New York City,>1.5,High conf,+25,19.08.18,win
mls,Vancouver Whitecaps,New York Red Bulls,1,Med conf,+145,19.08.18,lose
mls,Montreal Impact,Chicago Fire,>1.5,High conf,+25,19.08.18,win
mls,FC Dallas,Minnesota,1X,Med conf,-21,19.08.18,win
mls,Sporting Kansas City,Portland Timbers,1X,Med conf,-4,19.08.18,win
mls,Houston Dynamo,Real Salt Lake,X2,High conf,+177,19.08.18,win
mls,San Jose Earthquakes,Toronto FC,1X,Med conf,+38,19.08.18,win
primera-division,Girona,Valladolid,1X,Low conf,-8,17.08.18,win
primera-division,Betis,Levante,1X,Low conf,+21,17.08.18,lose
liga-1,Poli Iasi,FC Botosani,1X,High conf,+55,17.08.18,win
primeira-liga,Aves,Tondela,<2.5,Low conf,-4,17.08.18,lose
jupiler-league,Anderlecht,Mouscron,1X,High conf,+11,17.08.18,win
ligue-1,Reims,Lyon,1,Med conf,+45,17.08.18,win
super-lig,Trabzonspor,Sivasspor,1X,Med conf,+47,17.08.18,win
championship,Birmingham,Swansea,>2.5,Low conf,+5,17.08.18,lose
liga-1,Din. Bucuresti,FC Viitorul,12,High conf,+40,13.08.18,win
primeira-liga,Portimonense,Boavista,1X,Low conf,+18,13.08.18,1.59
jupiler-league,Gent,Waasland-Beveren,2,Low conf,+746,13.08.18,win
mls,DC United,Orlando City,1X,Med conf,+7,13.08.18,win
mls,Seattle Sounders,FC Dallas,2,Med conf,+211,13.08.18,lose
liga-1,Calarasi,CS U. Craiova,X2,High conf,+35,12.08.18,win
liga-1,Voluntari,CFR Cluj,2,Med conf,+9,12.08.18,win
liga-1,Gaz Metan Medias,FC Steaua Bucuresti,12,High conf,+75,12.08.18,win
primeira-liga,Feirense,Rio Ave,<2.5,Med conf,+33,12.08.18,win
primeira-liga,Moreirense,Sp Lisbon,2,Low conf,+27,12.08.18,win
primeira-liga,Sp Braga,Nacional,1,High conf,+82,12.08.18,win
jupiler-league,Oostende,Genk,1,Low conf,+217,12.08.18,lose
jupiler-league,Charleroi,Anderlecht,X2,Low conf,-81,12.08.18,win
jupiler-league,Gent,Waasland-Beveren,X2,Low conf,+130,12.08.18,lose
ligue-1,Lyon,Amiens,1,High conf,+84,12.08.18,win
ligue-1,Bordeaux,Strasbourg,1,High conf,+72,12.08.18,lose
ligue-1,Paris SG,Caen,1,Med conf,+45,12.08.18,win
premier-league,Liverpool,West Ham,<2.5,Low conf,+23,12.08.18,lose
premier-league,Southampton,Burnley,1,Med conf,+68,12.08.18,lose
premier-league,Arsenal,Man City,2,High conf,+79,12.08.18,win
liga-1,Concordia,FC Hermannstadt,1,Med conf,+59,11.08.18,win
liga-1,Sepsi,Poli Iasi,<2.5,High conf,+90,11.08.18,lose
primeira-liga,Setubal,Aves,1X,Med conf,+67,11.08.18,win
primeira-liga,Tondela,Belenenses,1,Low conf,-27,11.08.18,lose
primeira-liga,Porto,Chaves,1,High conf,+71,11.08.18,win
jupiler-league,Standard,Club Brugge,2,Low conf,-7,11.08.18,lose
jupiler-league,St Truiden,Lokeren,2,Low conf,-24,11.08.18,lose
jupiler-league,Waregem,Eupen,1X,Med conf,-0,11.08.18,win
jupiler-league,Mouscron,Antwerp,12,Med conf,+15,11.08.18,win
ligue-1,Nantes,Monaco,X2,Low conf,+24,11.08.18,win
ligue-1,Angers,Nimes,X2,Med conf,+60,11.08.18,win
ligue-1,Lille,Rennes,X2,Med conf,+42,11.08.18,lose
ligue-1,Montpellier,Dijon,1,High conf,+84,11.08.18,lose
ligue-1,Nice,Reims,>1.5,Med conf,+43,11.08.18,lose
ligue-1,St Etienne,Guingamp,1X,Med conf,+42,11.08.18,win
super-lig,Rizespor,Kasimpasa,1,Med conf,+40,11.08.18,lose
super-lig,Sivasspor,Alanyaspor,X2,Low conf,+17,11.08.18,lose
super-lig,Fenerbahce,Bursaspor,1,High conf,+76,11.08.18,win
championship,Aston Villa,Wigan,1X,High conf,+85,11.08.18,win
championship,Blackburn,Millwall,12,Low conf,+25,11.08.18,lose
championship,Bolton,Bristol City,>2.5,Low conf,+11,11.08.18,win
championship,Middlesbrough,Birmingham,1X,High conf,+78,11.08.18,win
championship,Norwich,West Brom,1,High conf,+86,11.08.18,lose
championship,Nott'm Forest,Reading,1,Med conf,+42,11.08.18,win
championship,QPR,Sheffield United,>2.5,Low conf,+19,11.08.18,win
championship,Rotherham,Ipswich,>2.5,Low conf,+14,11.08.18,lose
championship,Sheffield Weds,Hull,1,Med conf,+48,11.08.18,lose
championship,Stoke,Brentford,12,Med conf,+49,11.08.18,lose
championship,Swansea,Preston,12,Low conf,+24,11.08.18,win
championship,Derby,Leeds,1X,High conf,+75,11.08.18,lose
premier-league,Newcastle,Tottenham,12,High conf,+77,11.08.18,win
premier-league,Bournemouth,Cardiff,12,Med conf,+46,11.08.18,win
premier-league,Fulham,Crystal Palace,1X,Med conf,+70,11.08.18,lose
premier-league,Huddersfield,Chelsea,2,High conf,+79,11.08.18,win
premier-league,Watford,Brighton,1,Med conf,+68,11.08.18,win
premier-league,Wolves,Everton,<2.5,Low conf,+23,11.08.18,lose
liga-1,FC Botosani,Astra,1,Med conf,+93,10.08.18,lose
primeira-liga,Benfica,Guimaraes,1,High conf,+83,10.08.18,win
jupiler-league,Club Brugge,Kortrijk,1,Med conf,+54,10.08.18,win
ligue-1,Marseille,Toulouse,1,High conf,+86,10.08.18,win
premier-league,Man United,Leicester,12,High conf,+77,10.08.18,win
liga-1,Gaz Metan Medias,Din. Bucuresti,2,Med conf,+87,06.08.18,lose
mls,New York Red Bulls,Los Angeles FC,>1.5,High conf,+11,06.08.18,win
championship,Hull,Aston Villa,>2.5,Low conf,+8,06.08.18,win
liga-1,FC Steaua Bucuresti,Poli Iasi,X2,High conf,+95,05.08.18,lose
jupiler-league,Anderlecht,Oostende,12,Med conf,-8,05.08.18,win
jupiler-league,Genk,St Truiden,1X,Med conf,+64,05.08.18,win
jupiler-league,Mouscron,Club Brugge,2,Low conf,-52,05.08.18,win 
championship,Leeds,Stoke,12,Med conf,+47,05.08.18,win
liga-1,FC Viitorul,Voluntari,1,Med conf,+32,06.08.18,win
liga-1,Astra,Sepsi,1,Med conf,+34,04.08.18,lose
liga-1,CFR Cluj,Concordia,1,Med conf,+1,04.08.18,win
jupiler-league,Eupen,Charleroi,1,Low conf,+55,04.08.18,lose
jupiler-league,Antwerp,Kortrijk,2,Med conf,+290,04.08.18,lose
jupiler-league,Club Brugge,Lokeren,12,Med conf,+65,04.08.18,win
jupiler-league,Gent,Waregem,1,Med conf,+34,04.08.18,lose
mls,Atlanta United,Toronto FC,1X,High conf,+30,04.08.18,win
championship,Birmingham,Norwich,2,Med conf,+42,04.08.18,lose
championship,Brentford,Rotherham,1,High conf,+87,04.08.18,win
championship,Bristol City,Nott'm Forest,1X,High conf,+90,04.08.18,win
championship,Ipswich,Blackburn,1X,Low conf,-4,04.08.18,win
championship,Millwall,Middlesbrough,>2.5,Low conf,+24,04.08.18,win
championship,Preston,QPR,1X,High conf,+90,04.08.18,win
championship,West Brom,Bolton,12,Low conf,+24,04.08.18,win
championship,Wigan,Sheffield Weds,2,Med conf,+44,04.08.18,lose
liga-1,CS U. Craiova,FC Botosani,1X,Med conf,+21,03.08.18,win
jupiler-league,Waasland-Beveren,Standard,1X,Med conf,+91,03.08.18,win
championship,Reading,Derby,1,High conf,+72,03.08.18,lose
mls,Los Angeles Galaxy,Orlando City,1,High conf,+17,30.07.18,win
mls,Seattle Sounders,New York City,1X,High conf,+89,30.07.18,win
mls,Portland Timbers,Houston Dynamo,X,Low conf,+143,29.07.18,lose
mls,San Jose Earthquakes,Real Salt Lake,1,High conf,+95,29.07.18,lose
mls,Vancouver Whitecaps,Minnesota,>1.5,High conf,+13,29.07.18,win
mls,Sporting Kansas City,FC Dallas,X,Low conf,+107,29.07.18,lose
mls,DC United,Colorado Rapids,1X,High conf,+19,29.07.18,win
mls,Montreal Impact,Atlanta United,1,Med conf,+70,29.07.18,lose
mls,New York Red Bulls,Columbus Crew,1,High conf,+75,29.07.18,lose
mls,Toronto FC,Chicago Fire,1,High conf,+75,29.07.18,win
primera-division,Sociedad,Leganes,X,Low conf,+208,12.05.18,lose
primera-division,Alaves,Ath Bilbao,X,Low conf,+42,12.05.18,lose
primera-division,Betis,Sevilla,X,Low conf,+119,12.05.18,lose
primera-division,La Coruna,Villarreal,>2.5,Med conf,+36,12.05.18,win
primera-division,Eibar,Las Palmas,1X,High conf,+7,12.05.18,win
primera-division,Getafe,Ath Madrid,2,Low conf,+90,12.05.18,win
primera-division,Girona,Valencia,1,Low conf,+75,12.05.18,lose
primera-division,Real Madrid,Celta,>2.5,Med conf,+31,12.05.18,win
primeira-liga,Guimaraes,Porto,12,Low conf,-42,12.05.18,win
primeira-liga,Boavista,Belenenses,2,Low conf,+137,12.05.18,lose
ligue-1,Amiens,Metz,1,Low conf,+4,12.05.18,win
ligue-1,Angers,Nantes,X2,Low conf,-228,12.05.18,win
ligue-1,Bordeaux,Toulouse,1X,High conf,+36,12.05.18,win
ligue-1,Lille,Dijon,2,Low conf,+488,12.05.18,lose
ligue-1,Monaco,St Etienne,1X,Med conf,+20,12.05.18,win
ligue-1,Montpellier,Troyes,1,Low conf,+2,12.05.18,lose
ligue-1,Nice,Caen,1X,Med conf,+8,12.05.18,win
ligue-1,Paris SG,Rennes,1,Med conf,-28,12.05.18,lose
ligue-1,Strasbourg,Lyon,X2,Low conf,-526,12.05.18,lose
super-lig,Kasimpasa,Genclerbirligi,X,Low conf,+37,12.05.18,lose
super-lig,Galatasaray,Yeni Malatyaspor,2,High conf,+1691,12.05.18,lose
bundesliga,Hoffenheim,Dortmund,>2.5,Med conf,+62,12.05.18,win
bundesliga,Leverkusen,Hannover,>2.5,Med conf,+62,12.05.18,win
bundesliga,Bayern Munich,Stuttgart,12,Med conf,-11,12.05.18,win
bundesliga,Schalke 04,Ein Frankfurt,12,Med conf,+35,12.05.18,win
bundesliga,Mainz,Werder Bremen,1,Low conf,+50,12.05.18,lose
bundesliga,Hamburg,M'gladbach,1,Med conf,+28,12.05.18,win
bundesliga,Hertha,RB Leipzig,1,Low conf,+225,12.05.18,lose
bundesliga,Freiburg,Augsburg,1,Low conf,+23,12.05.18,win
bundesliga,Wolfsburg,FC Koln,>2.5,Med conf,+62,12.05.18,win
serie-a,Benevento,Genoa,<2.5,Low conf,+1,12.05.18,win
serie-a,Inter,Sassuolo,<2.5,Low conf,+1,12.05.18,lose
primeira-liga,Aves,Chaves,12,Med conf,+27,11.05.18,win
ligue-1,Guingamp,Marseille,>1.5,Med conf,-31,11.05.18,win
primera-division,Malaga,Alaves,2,Low conf,+152,06.05.18,win
primera-division,Ath Madrid,Espanol,1,Med conf,-1,06.05.18,lose
primera-division,Las Palmas,Getafe,>2.5,Med conf,+31,06.05.18,lose
primera-division,Barcelona,Real Madrid,X,Low conf,+186,06.05.18,win
primeira-liga,Estoril,Setubal,1,Med conf,+85,06.05.18,win
primeira-liga,Moreirense,Aves,12,Low conf,-52,06.05.18,win
primeira-liga,Chaves,Maritimo,12,Low conf,-29,06.05.18,win
primeira-liga,Porto,Feirense,1,High conf,+2,06.05.18,win
ligue-1,St Etienne,Bordeaux,12,Low conf,-39,06.05.18,win
ligue-1,Lyon,Troyes,1,Med conf,-27,06.05.18,win
ligue-1,Caen,Monaco,X2,Low conf,-14,06.05.18,win
ligue-1,Dijon,Guingamp,X,Low conf,+183,06.05.18,lose
ligue-1,Metz,Angers,X,Low conf,+165,06.05.18,lose
ligue-1,Nantes,Montpellier,1,Med conf,+84,06.05.18,lose
ligue-1,Rennes,Strasbourg,>1.5,Low conf,-56,06.05.18,win
ligue-1,Toulouse,Lille,>1.5,Low conf,-49,06.05.18,win
ligue-1,Marseille,Nice,1X,Med conf,-7,06.05.18,win
championship,Birmingham,Fulham,12,Med conf,-1,06.05.18,win
championship,Bolton,Nott'm Forest,>2.5,Low conf,+4,06.05.18,win
championship,Brentford,Hull,1X,Med conf,+20,06.05.18,win
championship,Cardiff,Reading,1X,Med conf,-39,06.05.18,win
championship,Derby,Barnsley,X2,Low conf,+62,06.05.18,lose
championship,Ipswich,Middlesbrough,X2,Low conf,-15,06.05.18,win
championship,Leeds,QPR,X2,Low conf,+7,06.05.18,lose
championship,Millwall,Aston Villa,1X,High conf,+65,06.05.18,win
championship,Preston,Burton,X2,Med conf,+115,06.05.18,lose
championship,Sheffield Weds,Norwich,1X,High conf,+74,06.05.18,win
championship,Sunderland,Wolves,2,Med conf,+12,06.05.18,lose
serie-a,Udinese,Inter,12,Med conf,-7,06.05.18,win
serie-a,Chievo,Crotone,X2,Med conf,+43,06.05.18,lose
serie-a,Genoa,Fiorentina,X2,Med conf,+4,06.05.18,win
serie-a,Lazio,Atalanta,<2.5,Med conf,+34,06.05.18,win
serie-a,Napoli,Torino,<2.5,Med conf,+34,06.05.18,lose
serie-a,Spal,Benevento,X,Med conf,+317,06.05.18,lose
serie-a,Sassuolo,Sampdoria,1,Med conf,+85,06.05.18,win
serie-a,Cagliari,Roma,2,Med conf,-2,06.05.18,win
premier-league,Man City,Huddersfield,1X,Med conf,-25,06.05.18,win
premier-league,Arsenal,Burnley,<2.5,Med conf,+57,06.05.18,lose
premier-league,Chelsea,Liverpool,BTTS,Med conf,+65,06.05.18,lose
primera-division,Girona,Eibar,2,Low conf,+137,05.05.18,win
primera-division,Ath Bilbao,Betis,1X,Med conf,+12,05.05.18,win
primera-division,Celta,La Coruna,1,Med conf,+15,05.05.18,lose
primera-division,Villarreal,Valencia,1,Low conf,+15,05.05.18,win
primeira-liga,Belenenses,Portimonense,1X,Med conf,+24,05.05.18,win
primeira-liga,Tondela,Guimaraes,>2.5,Low conf,-62,05.05.18,win
primeira-liga,Sp Lisbon,Benfica,>2.5,Low conf,-62,05.05.18,lose
super-lig,Alanyaspor,Osmanlispor,X2,Low conf,-5,05.05.18,win
super-lig,Trabzonspor,Kasimpasa,1,Low conf,-29,05.05.18,lose
bundesliga,Dortmund,Mainz,2,Med conf,+823,05.05.18,win
bundesliga,M'gladbach,Freiburg,1,Med conf,+46,05.05.18,win
bundesliga,Ein Frankfurt,Hamburg,12,High conf,+35,05.05.18,win
bundesliga,Augsburg,Schalke 04,1,Med conf,+213,05.05.18,lose
bundesliga,FC Koln,Bayern Munich,2,Med conf,-19,05.05.18,win
bundesliga,Hannover,Hertha,1,High conf,+176,05.05.18,win
bundesliga,RB Leipzig,Wolfsburg,X2,Low conf,+62,05.05.18,win
bundesliga,Stuttgart,Hoffenheim,1X,Med conf,+58,05.05.18,win
bundesliga,Werder Bremen,Leverkusen,1,Med conf,+242,05.05.18,lose
serie-a,Milan,Verona,12,Med conf,-34,05.05.18,win
serie-a,Juventus,Bologna,1X,Low conf,-87,05.05.18,win
premier-league,Stoke,Crystal Palace,X2,High conf,+86,05.05.18,win
premier-league,Bournemouth,Swansea,<2.5,Med conf,+23,05.05.18,win
premier-league,Leicester,West Ham,2,Med conf,+198,05.05.18,win
premier-league,Watford,Newcastle,1,Med conf,+91,05.05.18,win
premier-league,West Brom,Tottenham,BTTS,Med conf,+39,05.05.18,lose
premier-league,Everton,Southampton,X2,High conf,+76,05.05.18,win
primera-division,Eibar,Getafe,2,Low conf,+83,21.04.18,win
primera-division,Celta,Valencia,1,Med conf,+108,21.04.18,lose
primeira-liga,Pacos Ferreira,Belenenses,1X,Med conf,-7,21.04.18,win
primeira-liga,Feirense,Guimaraes,2,Low conf,+96,21.04.18,lose
primeira-liga,Estoril,Benfica,12,Low conf,-58,21.04.18,win
ligue-1,Marseille,Lille,1,Med conf,+7,21.04.18,win
ligue-1,Amiens,Strasbourg,2,Low conf,+19,21.04.18,lose
ligue-1,Guingamp,Monaco,12,Low conf,-18,21.04.18,win
ligue-1,Metz,Caen,>1.5,High conf,+24,21.04.18,win
ligue-1,Toulouse,Angers,1X,High conf,+50,21.04.18,win
super-lig,Genclerbirligi,Osmanlispor,1X,Low conf,-1,21.04.18,lose
super-lig,Trabzonspor,Sivasspor,<2.5,Low conf,+8,21.04.18,win
super-lig,Alanyaspor,Galatasaray,1,Low conf,+314,21.04.18,lose
championship,Bolton,Wolves,1,Med conf,+274,21.04.18,lose
championship,Brentford,QPR,1X,Med conf,+14,21.04.18,win
championship,Bristol City,Hull,1,Med conf,+91,21.04.18,lose
championship,Derby,Middlesbrough,<2.5,Low conf,+14,21.04.18,lose
championship,Ipswich,Aston Villa,X2,Med conf,-18,21.04.18,win
championship,Leeds,Barnsley,1X,Med conf,+33,21.04.18,win
championship,Preston,Norwich,1,Med conf,+46,21.04.18,lose
championship,Sheffield Weds,Reading,X2,Med conf,+34,21.04.18,lose
championship,Sunderland,Burton,<2.5,Low conf,-32,21.04.18,lose
championship,Cardiff,Nott'm Forest,1,Med conf,+22,21.04.18,win
bundesliga,Ein Frankfurt,Hertha,12,Med conf,+10,21.04.18,win
bundesliga,Hamburg,Freiburg,12,High conf,+41,21.04.18,win
bundesliga,Hannover,Bayern Munich,12,High conf,+18,21.04.18,win
bundesliga,RB Leipzig,Hoffenheim,X2,Med conf,+74,21.04.18,win
bundesliga,Stuttgart,Werder Bremen,1,Med conf,+114,21.04.18,win
bundesliga,Dortmund,Leverkusen,1,Med conf,+98,21.04.18,win
serie-a,Spal,Roma,X2,Med conf,+11,21.04.18,win
serie-a,Sassuolo,Fiorentina,1,High conf,+202,21.04.18,win
serie-a,Milan,Benevento,<2.5,Low conf,-10,21.04.18,win
premier-league,West Brom,Liverpool,1X,High conf,+173,21.04.18,win
premier-league,Watford,Crystal Palace,12,High conf,+66,21.04.18,lose
primera-division,Leganes,La Coruna,<2.5,Med conf,+57,20.04.18,win
primeira-liga,Sp Braga,Maritimo,12,Low conf,-44,20.04.18,win
ligue-1,Nantes,Rennes,X2,Med conf,+44,20.04.18,win
championship,Millwall,Fulham,1X,Med conf,+50,20.04.18,lose
bundesliga,M'gladbach,Wolfsburg,>2.5,Med conf,+46,20.04.18,win
primera-division,Girona,Levante,1,Med conf,+2,31.03.18,lose
primera-division,Ath Bilbao,Celta,X2,Med conf,+71,31.03.18,win
primera-division,Las Palmas,Real Madrid,2,Med conf,-26,31.03.18,win
primera-division,Sevilla,Barcelona,12,Med conf,+20,31.03.18,lose
primeira-liga,Pacos Ferreira,Chaves,12,Med conf,+5,31.03.18,win
primeira-liga,Portimonense,Moreirense,1,Med conf,+63,31.03.18,win
primeira-liga,Benfica,Guimaraes,1X,Low conf,-65,31.03.18,win
primeira-liga,Sp Braga,Sp Lisbon,X2,Med conf,+34,31.03.18,win
ligue-1,Dijon,Marseille,X2,High conf,+22,31.03.18,win
super-lig,Yeni Malatyaspor,Genclerbirligi,X,Low conf,+50,31.03.18,lose
super-lig,Antalyaspor,Bursaspor,2,Low conf,+131,31.03.18,lose
super-lig,Besiktas,Alanyaspor,1,High conf,+3,31.03.18,win
championship,Birmingham,Ipswich,2,Low conf,+171,31.03.18,lose
championship,Hull,Aston Villa,1,Med conf,+120,31.03.18,lose
bundesliga,Hoffenheim,FC Koln,1X,Med conf,-2,31.03.18,win
bundesliga,Leverkusen,Augsburg,1X,Med conf,-4,31.03.18,win
bundesliga,Schalke 04,Freiburg,>2.5,Low conf,+8,31.03.18,lose
bundesliga,Hannover,RB Leipzig,1X,Med conf,+89,31.03.18,lose
bundesliga,Stuttgart,Hamburg,1,Med conf,+22,31.03.18,lose
bundesliga,Bayern Munich,Dortmund,1,Med conf,-17,31.03.18,win
bundesliga,Hertha,Wolfsburg,1X,Med conf,+18,31.03.18,win
serie-a,Bologna,Roma,2,Low conf,-12,31.03.18,lose
serie-a,Atalanta,Udinese,12,Med conf,+3,31.03.18,win
serie-a,Cagliari,Torino,2,Low conf,+67,31.03.18,win
serie-a,Fiorentina,Crotone,12,Med conf,+16,31.03.18,win
serie-a,Genoa,Spal,1,Med conf,+62,31.03.18,lose
serie-a,Inter,Verona,1,Med conf,-22,31.03.18,win
serie-a,Lazio,Benevento,1,Med conf,-16,31.03.18,win
serie-a,Chievo,Sampdoria,2,Med conf,+197,31.03.18,lose
serie-a,Sassuolo,Napoli,2,Low conf,-43,31.03.18,lose
serie-a,Juventus,Milan,1,Med conf,+27,31.03.18,win
premier-league,Crystal Palace,Liverpool,X2,Low conf,-35,31.03.18,win
premier-league,Brighton,Leicester,2,Med conf,+107,31.03.18,win
premier-league,Man United,Swansea,1,Med conf,+1,31.03.18,win	
premier-league,Newcastle,Huddersfield,1X,High conf,+45,31.03.18,win
premier-league,Watford,Bournemouth,2,Med conf,+164,31.03.18,lose
premier-league,West Brom,Burnley,1,Med conf,+140,31.03.18,lose
premier-league,West Ham,Southampton,<2.5,Med conf,+26,31.03.18,lose
premier-league,Everton,Man City,X2,Med conf,-39,31.03.18,win
primeira-liga,Maritimo,Feirense,1,High conf,+39,30.03.18,win
primeira-liga,Rio Ave,Estoril,1,Med conf,+46,30.03.18,win
primeira-liga,Boavista,Tondela,1,High conf,+80,30.03.18,lose
championship,Millwall,Nott'm Forest,1X,Low conf,-40,30.03.18,win
championship,Barnsley,Bristol City,2,Med conf,+82,30.03.18,lose
championship,Cardiff,Burton,1,Med conf,+9,30.03.18,win
championship,Leeds,Bolton,12,Med conf,+25,30.03.18,win
championship,Norwich,Fulham,1X,Low conf,-21,30.03.18,lose
championship,Sheffield Weds,Preston,X2,Med conf,+40,30.03.18,lose
championship,Middlesbrough,Wolves,2,Low conf,+51,30.03.18,win
championship,Reading,QPR,1,Med conf,+108,30.03.18,win
championship,Derby,Sunderland,1X,Low conf,-38,30.03.18,lose
primera-division,Leganes,Sevilla,1,High conf,+248,18.03.18,win
primera-division,Barcelona,Ath Bilbao,1,High conf,-4,18.03.18,win
primera-division,Celta,Malaga,1,Med conf,-13,18.03.18,lose
primera-division,Villarreal,Ath Madrid,2,High conf,+89,18.03.18,lose
primera-division,Real Madrid,Girona,12,Low conf,-70,18.03.18,win
primeira-liga,Guimaraes,Aves,12,Med conf,+26,18.03.18,win
primeira-liga,Moreirense,Belenenses,12,High conf,+69,18.03.18,win
primeira-liga,Chaves,Sp Braga,2,Low conf,-11,18.03.18,win
primeira-liga,Sp Lisbon,Rio Ave,1X,High conf,-0,18.03.18,win
ligue-1,Nice,Paris SG,2,Med conf,-20,18.03.18,win
ligue-1,Metz,Nantes,X2,Med conf,+13,18.03.18,win
ligue-1,St Etienne,Guingamp,1,High conf,+48,18.03.18,win
ligue-1,Marseille,Lyon,12,Med conf,+23,18.03.18,win
bundesliga,Dortmund,Hannover,<2.5,Med conf,+45,18.03.18,win
bundesliga,FC Koln,Leverkusen,<2.5,Med conf,+45,18.03.18,win
bundesliga,RB Leipzig,Bayern Munich,2,Low conf,-143,18.03.18,lose
serie-a,Sampdoria,Inter,1,High conf,+268,18.03.18,lose
serie-a,Milan,Chievo,<2.5,Med conf,+49,18.03.18,lose
serie-a,Benevento,Cagliari,1,High conf,+139,18.03.18,lose
serie-a,Crotone,Roma,2,Med conf,-14,18.03.18,win
serie-a,Torino,Fiorentina,X2,Med conf,+39,18.03.18,win
